"Step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MAX","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MAX"
"91","368000","368000","368000","368000","368000","368000","368000","368000","368000","368000","368000","368000","659200","659200","659200","368000","368000","368000","368000","368000","368000","368000","368000","368000"
"92","371200","371200","371200","371200","371200","371200","371200","371200","371200","371200","371200","371200","665600","665600","665600","371200","371200","371200","371200","371200","371200","371200","371200","371200"
"93","374400","374400","374400","374400","374400","374400","374400","374400","374400","374400","374400","374400","672000","672000","672000","374400","374400","374400","374400","374400","374400","374400","374400","374400"
"94","377600","377600","377600","377600","377600","377600","377600","377600","377600","377600","377600","377600","678400","678400","678400","377600","377600","377600","377600","377600","377600","377600","377600","377600"
"95","380800","380800","380800","380800","380800","380800","380800","380800","380800","380800","380800","380800","684800","684800","684800","380800","380800","380800","380800","380800","380800","380800","380800","380800"
"96","384000","384000","384000","384000","384000","384000","384000","384000","384000","384000","384000","384000","691200","691200","691200","384000","384000","384000","384000","384000","384000","384000","384000","384000"
"97","387200","387200","387200","387200","387200","387200","387200","387200","387200","387200","387200","387200","697600","697600","697600","387200","387200","387200","387200","387200","387200","387200","387200","387200"
"98","390400","390400","390400","390400","390400","390400","390400","390400","390400","390400","390400","390400","704000","704000","704000","390400","390400","390400","390400","390400","390400","390400","390400","390400"
"99","393600","393600","393600","393600","393600","393600","393600","393600","393600","393600","393600","393600","710400","710400","710400","393600","393600","393600","393600","393600","393600","393600","393600","393600"
"100","396800","396800","396800","396800","396800","396800","396800","396800","396800","396800","396800","396800","716800","716800","716800","396800","396800","396800","396800","396800","396800","396800","396800","396800"
"101","400000","400000","400000","400000","400000","400000","400000","400000","400000","400000","400000","400000","723200","723200","723200","400000","400000","400000","400000","400000","400000","400000","400000","400000"
"102","403200","403200","403200","403200","403200","403200","403200","403200","403200","403200","403200","403200","729600","729600","729600","403200","403200","403200","403200","403200","403200","403200","403200","403200"
"103","406400","406400","406400","406400","406400","406400","406400","406400","406400","406400","406400","406400","736000","736000","736000","406400","406400","406400","406400","406400","406400","406400","406400","406400"
"104","409600","409600","409600","409600","409600","409600","409600","409600","409600","409600","409600","409600","742400","742400","742400","409600","409600","409600","409600","409600","409600","409600","409600","409600"
"105","412800","412800","412800","412800","412800","412800","412800","412800","412800","412800","412800","412800","748800","748800","748800","412800","412800","412800","412800","412800","412800","412800","412800","412800"
"106","416000","416000","416000","416000","416000","416000","416000","416000","416000","416000","416000","416000","755200","755200","755200","416000","416000","416000","416000","416000","416000","416000","416000","416000"
"107","419200","419200","419200","419200","419200","419200","419200","419200","419200","419200","419200","419200","761600","761600","761600","419200","419200","419200","419200","419200","419200","419200","419200","419200"
"108","422400","422400","422400","422400","422400","422400","422400","422400","422400","422400","422400","422400","768000","768000","768000","422400","422400","422400","422400","422400","422400","422400","422400","422400"
"109","425600","425600","425600","425600","425600","425600","425600","425600","425600","425600","425600","425600","774400","774400","774400","425600","425600","425600","425600","425600","425600","425600","425600","425600"
"110","428800","428800","428800","428800","428800","428800","428800","428800","428800","428800","428800","428800","780800","780800","780800","428800","428800","428800","428800","428800","428800","428800","428800","428800"
"111","432000","432000","432000","432000","432000","432000","432000","432000","432000","432000","432000","432000","787200","787200","787200","432000","432000","432000","432000","432000","432000","432000","432000","432000"
"112","435200","435200","435200","435200","435200","435200","435200","435200","435200","435200","435200","435200","793600","793600","793600","435200","435200","435200","435200","435200","435200","435200","435200","435200"
"113","438400","438400","438400","438400","438400","438400","438400","438400","438400","438400","438400","438400","800000","800000","800000","438400","438400","438400","438400","438400","438400","438400","438400","438400"
"114","441600","441600","441600","441600","441600","441600","441600","441600","441600","441600","441600","441600","806400","806400","806400","441600","441600","441600","441600","441600","441600","441600","441600","441600"
"115","444800","444800","444800","444800","444800","444800","444800","444800","444800","444800","444800","444800","812800","812800","812800","444800","444800","444800","444800","444800","444800","444800","444800","444800"
"116","448000","448000","448000","448000","448000","448000","448000","448000","448000","448000","448000","448000","819200","819200","819200","448000","448000","448000","448000","448000","448000","448000","448000","448000"
"117","451200","451200","451200","451200","451200","451200","451200","451200","451200","451200","451200","451200","825600","825600","825600","451200","451200","451200","451200","451200","451200","451200","451200","451200"
"118","454400","454400","454400","454400","454400","454400","454400","454400","454400","454400","454400","454400","832000","832000","832000","454400","454400","454400","454400","454400","454400","454400","454400","454400"
"119","457600","457600","457600","457600","457600","457600","457600","457600","457600","457600","457600","457600","838400","838400","838400","457600","457600","457600","457600","457600","457600","457600","457600","457600"
"120","460800","460800","460800","460800","460800","460800","460800","460800","460800","460800","460800","460800","844800","844800","844800","460800","460800","460800","460800","460800","460800","460800","460800","460800"
"121","464000","464000","464000","464000","464000","464000","464000","464000","464000","464000","464000","464000","851200","851200","851200","464000","464000","464000","464000","464000","464000","464000","464000","464000"
"122","467200","467200","467200","467200","467200","467200","467200","467200","467200","467200","467200","467200","857600","857600","857600","467200","467200","467200","467200","467200","467200","467200","467200","467200"
"123","470400","470400","470400","470400","470400","470400","470400","470400","470400","470400","470400","470400","864000","864000","864000","470400","470400","470400","470400","470400","470400","470400","470400","470400"
"124","473600","473600","473600","473600","473600","473600","473600","473600","473600","473600","473600","473600","870400","870400","870400","473600","473600","473600","473600","473600","473600","473600","473600","473600"
"125","476800","476800","476800","476800","476800","476800","476800","476800","476800","476800","476800","476800","876800","876800","876800","476800","476800","476800","476800","476800","476800","476800","476800","476800"
"126","480000","480000","480000","480000","480000","480000","480000","480000","480000","480000","480000","480000","883200","883200","883200","480000","480000","480000","480000","480000","480000","480000","480000","480000"
"127","483200","483200","483200","483200","483200","483200","483200","483200","483200","483200","483200","483200","889600","889600","889600","483200","483200","483200","483200","483200","483200","483200","483200","483200"
"128","486400","486400","486400","486400","486400","486400","486400","486400","486400","486400","486400","486400","896000","896000","896000","486400","486400","486400","486400","486400","486400","486400","486400","486400"
"129","489600","489600","489600","489600","489600","489600","489600","489600","489600","489600","489600","489600","902400","902400","902400","489600","489600","489600","489600","489600","489600","489600","489600","489600"
"130","492800","492800","492800","492800","492800","492800","492800","492800","492800","492800","492800","492800","908800","908800","908800","492800","492800","492800","492800","492800","492800","492800","492800","492800"
"131","496000","496000","496000","496000","496000","496000","496000","496000","496000","496000","496000","496000","915200","915200","915200","496000","496000","496000","496000","496000","496000","496000","496000","496000"
"132","499200","499200","499200","499200","499200","499200","499200","499200","499200","499200","499200","499200","921600","921600","921600","499200","499200","499200","499200","499200","499200","499200","499200","499200"
