"Step","CartPole_env_reward_99_MIDI3_tmux1 - global_step","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MIN","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MAX","CartPole_env_reward_20240422_232316 - global_step","CartPole_env_reward_20240422_232316 - global_step__MIN","CartPole_env_reward_20240422_232316 - global_step__MAX"
"310","1990400","1990400","1990400","1990400","1990400","1990400"
"311","1996800","1996800","1996800","1996800","1996800","1996800"
"312","2003200","2003200","2003200","2003200","2003200","2003200"
"313","2009600","2009600","2009600","2009600","2009600","2009600"
"314","2016000","2016000","2016000","2016000","2016000","2016000"
"315","2022400","2022400","2022400","2022400","2022400","2022400"
"316","2028800","2028800","2028800","2028800","2028800","2028800"
"317","2035200","2035200","2035200","2035200","2035200","2035200"
"318","2041600","2041600","2041600","2041600","2041600","2041600"
"319","2048000","2048000","2048000","2048000","2048000","2048000"
"320","2054400","2054400","2054400","2054400","2054400","2054400"
"321","2060800","2060800","2060800","2060800","2060800","2060800"
"322","2067200","2067200","2067200","2067200","2067200","2067200"
"323","2073600","2073600","2073600","2073600","2073600","2073600"
"324","2080000","2080000","2080000","2080000","2080000","2080000"
"325","2086400","2086400","2086400","2086400","2086400","2086400"
"326","2092800","2092800","2092800","2092800","2092800","2092800"
"327","2099200","2099200","2099200","2099200","2099200","2099200"
"328","2105600","2105600","2105600","2105600","2105600","2105600"
"329","2112000","2112000","2112000","2112000","2112000","2112000"
"330","2118400","2118400","2118400","2118400","2118400","2118400"
"331","2124800","2124800","2124800","2124800","2124800","2124800"
"332","2131200","2131200","2131200","2131200","2131200","2131200"
"333","2137600","2137600","2137600","2137600","2137600","2137600"
"334","2144000","2144000","2144000","2144000","2144000","2144000"
"335","2150400","2150400","2150400","2150400","2150400","2150400"
"336","2156800","2156800","2156800","2156800","2156800","2156800"
"337","2163200","2163200","2163200","2163200","2163200","2163200"
"338","2169600","2169600","2169600","2169600","2169600","2169600"
"339","2176000","2176000","2176000","2176000","2176000","2176000"
