"Step","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MAX"
"32","-6.297609329223633","-6.297609329223633","-6.297609329223633","188.7737579345703","188.7737579345703","188.7737579345703","48.564945220947266","48.564945220947266","48.564945220947266","42.69563293457031","42.69563293457031","42.69563293457031","188.800048828125","188.800048828125","188.800048828125","50.31390380859375","50.31390380859375","50.31390380859375"
"33","-6.285575866699219","-6.285575866699219","-6.285575866699219","188.77020263671875","188.77020263671875","188.77020263671875","48.56941223144531","48.56941223144531","48.56941223144531","42.71983337402344","42.71983337402344","42.71983337402344","188.79489135742188","188.79489135742188","188.79489135742188","50.2846794128418","50.2846794128418","50.2846794128418"
"34","-6.281483173370361","-6.281483173370361","-6.281483173370361","188.7679443359375","188.7679443359375","188.7679443359375","48.53715133666992","48.53715133666992","48.53715133666992","42.69321823120117","42.69321823120117","42.69321823120117","188.7891082763672","188.7891082763672","188.7891082763672","50.423187255859375","50.423187255859375","50.423187255859375"
"35","-6.2734808921813965","-6.2734808921813965","-6.2734808921813965","188.76821899414062","188.76821899414062","188.76821899414062","48.518489837646484","48.518489837646484","48.518489837646484","42.677635192871094","42.677635192871094","42.677635192871094","188.78359985351562","188.78359985351562","188.78359985351562","50.33102035522461","50.33102035522461","50.33102035522461"
"36","-6.23282527923584","-6.23282527923584","-6.23282527923584","188.76681518554688","188.76681518554688","188.76681518554688","48.49698257446289","48.49698257446289","48.49698257446289","42.776344299316406","42.776344299316406","42.776344299316406","188.7824249267578","188.7824249267578","188.7824249267578","50.38980484008789","50.38980484008789","50.38980484008789"
"37","-6.225605487823486","-6.225605487823486","-6.225605487823486","188.76409912109375","188.76409912109375","188.76409912109375","48.51876449584961","48.51876449584961","48.51876449584961","42.80277633666992","42.80277633666992","42.80277633666992","188.7830352783203","188.7830352783203","188.7830352783203","50.28834915161133","50.28834915161133","50.28834915161133"
"38","-6.186738967895508","-6.186738967895508","-6.186738967895508","188.7638702392578","188.7638702392578","188.7638702392578","48.504844665527344","48.504844665527344","48.504844665527344","42.77576446533203","42.77576446533203","42.77576446533203","188.7844696044922","188.7844696044922","188.7844696044922","50.35492706298828","50.35492706298828","50.35492706298828"
"39","-6.14249324798584","-6.14249324798584","-6.14249324798584","188.7616424560547","188.7616424560547","188.7616424560547","48.48223876953125","48.48223876953125","48.48223876953125","42.78316879272461","42.78316879272461","42.78316879272461","188.785888671875","188.785888671875","188.785888671875","50.45376205444336","50.45376205444336","50.45376205444336"
"40","-6.096155643463135","-6.096155643463135","-6.096155643463135","188.76036071777344","188.76036071777344","188.76036071777344","48.50567626953125","48.50567626953125","48.50567626953125","42.793548583984375","42.793548583984375","42.793548583984375","188.78822326660156","188.78822326660156","188.78822326660156","50.62311553955078","50.62311553955078","50.62311553955078"
"41","-6.027179718017578","-6.027179718017578","-6.027179718017578","188.759765625","188.759765625","188.759765625","48.453861236572266","48.453861236572266","48.453861236572266","42.833526611328125","42.833526611328125","42.833526611328125","188.79945373535156","188.79945373535156","188.79945373535156","50.81914138793945","50.81914138793945","50.81914138793945"
